Ранг,Инфинитив,Перевод
1,être,быть
2,avoir,иметь
3,faire,делать
4,dire,говорить
5,pouvoir,мочь
6,aller,идти
7,voir,видеть
8,savoir,знать
9,vouloir,хотеть
10,venir,приходить
11,falloir,следовать
12,devoir,быть должным
13,croire,верить
14,prendre,брать
15,mettre,класть
16,tenir,держать
17,connaître,знать
18,paraître,казаться
19,entendre,слышать
20,rendre,возвращать
21,répondre,отвечать
22,attendre,ждать
23,vivre,жить
24,sortir,выходить
25,partir,уходить
26,ouvrir,открывать
27,recevoir,получать
28,perdre,терять
29,servir,служить
30,écrire,писать
31,lire,читать
32,boire,пить
33,suivre,следовать
34,naître,рождаться
35,apparaître,появляться
36,comprendre,понимать
37,plaire,нравиться
38,offrir,предлагать
39,conduire,водить
40,produire,производить
41,permettre,позволять
42,reprendre,возобновлять
43,apprendre,учить
44,joindre,соединять
45,réduire,уменьшать
46,construire,строить
47,obtenir,получать
48,réussir,успешно выполнять
49,réunir,собирать
50,réfléchir,размышлять
51,abattre,
52,absoudre,
53,abstraire,
54,accourir,
55,accroître,
56,accueillir,
57,acquérir,
58,adjoindre,
59,admettre,
60,advenir,
61,apercevoir,
62,appartenir,
63,appendre,
64,assaillir,
65,asseoir,
66,astreindre,
67,atteindre,
68,battre,
69,bouillir,
70,braire,
71,ceindre,
72,circoncire,
73,circonscrire,
74,circonvenir,
75,clore,
76,combattre,
77,commettre,
78,comparaître,
79,complaire,
80,compromettre,
81,concevoir,
82,conclure,
83,concourir,
84,confire,
85,confondre,
86,conjoindre,
87,conquérir,
88,consentir,
89,contenir,
90,contraindre,
91,contredire,
92,contrefaire,
93,contrevenir,
94,convaincre,
95,convenir,
96,correspondre,
97,corrompre,
98,coudre,
99,courir,
100,couvrir,
101,craindre,
102,croître,
103,cueillir,
104,cuire,
105,décevoir,
106,découdre,
107,découvrir,
108,décrire,
109,déduire,
110,défaire,
111,défendre,
112,démettre,
113,dépendre,
114,descendre,
115,déteindre,
116,détenir,
117,détruire,
118,devenir,
119,disconvenir,
120,discourir,
121,disjoindre,
122,disparaître,
123,dissoudre,
124,distendre,
125,distraire,
126,dormir,
127,éclore,
128,élire,
129,émettre,
130,émouvoir,
131,endormir,
132,entreprendre,
133,entretenir,
134,entrevoir,
135,envahir,
136,épanouir,
137,épargner,
138,éparpiller,
139,éprouver,
140,équivaloir,
141,éteindre,
142,exclure,
143,extraire,
144,feindre,
145,ferir,
146,foutre,
147,frire,
148,fuir,
149,haïr,
150,inclure,
151,induire,
152,inscrire,
153,instruire,
154,interdire,
155,intervenir,
156,introduire,
157,maudire,
158,mentir,
159,mordre,
160,mourir,
161,mouvoir,
162,nuire,
163,omettre,
164,ouïr,
165,parcourir,
166,parvenir,
167,peindre,
168,pendre,
169,percevoir,
170,plaire,нравиться
171,pleuvoir,
172,prescrire,
173,prévaloir,
174,prévenir,
175,prévoir,
176,promettre,
177,promouvoir,
178,proscrire,
179,provenir,
180,quérir,
181,récrire,
182,rejoindre,
183,relire,
184,remettre,
185,remoudre,
186,renaître,
187,rendormir,
188,renouveler,
189,repartir,
190,repeindre,
191,rependre,
192,reperdre,
193,replaire,
194,repleuvoir,
195,reprendre,возобновлять
196,reproduire,
197,résoudre,
198,restreindre,
199,retenir,
200,retourner,
201,retraduire,
202,retrouver,
203,revêtir,
204,rire,
205,rompre,
206,sentir,
207,souffrir,
208,sourire,
209,souscrire,
210,soutenir,
211,suffire,
212,surprendre,
213,survivre,
214,taire,
215,teindre,
216,tendre,
217,tordre,
218,traduire,
219,transcrire,
220,transmettre,
221,tressaillir,
222,vaincre,
223,valoir,
224,vendre,
225,vêtir,
