battre	бить
abattre сбивать
combattre	бороться
débattre	спорить
ébattre	резвиться
rabattre	сбивать
rebattre	бить снова

absoudre	освобождать от вины
abstraire	абстрагировать

courir	бежать
accourir	прибегать
concourir	участвовать
discourir	разговаривать
encourir	рисковать
parcourir	проходить
secourir	помогать
recourir	обращаться

accroître	увеличивать
accueillir	приветствовать
acquérir	приобретать
adjoindre	присоединять
advenir	случаться
aller	идти
apercevoir	замечать
apparaître	появляться
appartenir	принадлежать
appendre	прикреплять
apprendre	учить
assaillir	нападать
asseoir	садиться
astreindre	обязывать
attendre	ждать
avoir	иметь
boire	пить
bouillir	кипеть
braire	ржать
ceindre	опоясывать
choir	сидеть
circoncire	обрезать
circonscrire	ограничивать
circonvenir	убеждать
clore	закрывать
commettre	совершать
comparaître	являться
complaire	угождать
comprendre	понимать
concevoir	зачать
conclure	заключать

conduire	вести
confire	консервировать
confondre	смущать
conjoindre	соединять
connaître	знать
conquérir	завоевывать
consentir	согласиться
construire	строить
contenir	содержать
contraindre	принуждать
contredire	противоречить
contrefaire	подделывать
contrefoutre	проклинать
contrevenir	нарушать
convaincre	убеждать
convenir	согласоваться
correspondre	соответствовать
corrompre	корruptировать
coudre	шить

couvrir	покрывать
craindre	бояться
croire	верить
croître	расти
cueillir	собирать
cuire	варить
décevoir	разочаровывать
déchoir	падать
déclore	раскрывать
découdre	расшивать
découvrir	открывать
décrire	описывать
décroître	уменьшаться
dédire	отказаться от
déduire	выводить
défaillir	не справиться
défaire	разрушать
défendre	защищать
démentir	опровергать
démettre	увольнять
démordre	отказаться от
départir	отправлять
dépeindre	описывать
dépendre	зависеть
déplaire	не нравиться
déprendre	отказываться от
désapprendre	забывать
descendre	спускаться
desservir	обслуживать
déteindre	расплываться
détendre	расслаблять
détenir	держать
détruire	разрушать
devenir	становиться
dévêtir	раздевать
devoir	должен
dire	говорить
disconvenir	отказаться

disjoindre	разъединять
disparaître	исчезать
dissoudre	растворять
distendre	растягивать
distordre	искажать
distraire	отвлекать
dormir	спать
échoir	падать
éclore	цвести
éconduire	прогонять
écrire	писать
élire	избирать
émettre	выпускать
émoudre	точить
émouvoir	волновать
empreindre	отпечатывать
enclore	заключать

endormir	усыплять
enduire	покрывать
enfreindre	нарушать
enfuir	убегать
enjoindre	приказывать
enquérir	расследовать
ensuivre	следовать
entendre	слышать
entrapercevoir	замечать
entremettre	посредничать
entreprendre	предпринимать
entretenir	поддерживать
entrevoir	предвидеть
entrouvrir	приоткрывать
épandre	распространять
éprendre	брать
équevaloir	равняться
éteindre    загасить
étendre	растягивать
être	быть
étreindre	обнимать
exclure	исключать
extraire	извлекать
faillir	не справиться
faire	делать
falloir	нужно
feindre	притворяться
fendre	раскалывать
fondre	таять
forclore	закрывать
foutre	делать
frire	жарить
fuir	убегать
geindre	стонать
gésir	лежать
inclure	включать
induire	внушать
inscrire	записывать
instruire	учить
interdire	запрещать
interrompre	прерывать
intervenir	вмешиваться
introduire	вводить
joindre	соединять
lire	читать
luire	сиять
maintenir	поддерживать
maudire	проклинать
méconnaître	не знать
médire	говорить плохо
mentir	лгать
méprendre	ошибаться
messeoir	принадлежать
mettre	ставить
mordre	кусать
morfondre	таять
moudre	молоть
mourir	умирать
mouvoir	двигать
naître	рождаться
nuire	вредить
obtenir	получать
occlure	закрывать
offrir	предлагать
oindre	мазать
omettre	пропускать
ouïr	слышать
ouvrir	открывать
paître	пасеть
paraître	появляться

parfaire	совершать
partir	отправляться
parvenir	достигать
peindre	рисовать
pendre	висеть
percevoir	получать
perdre	терять
permettre	разрешать
plaindre	жаловаться
plaire	нравиться
pleuvoir	дождь
poindre	проклевываться
pondre	откладывать яйца
pourfendre	разрубать
poursuivre	преследовать
pourvoir	обеспечивать
pouvoir	мочь
prédire	предсказывать
prendre	брать
prescrire	прописывать
pressentir	предчувствовать
prétendre	претендовать
prévaloir	преобладать
prévenir	предупреждать
prévoir	предвидеть
produire	производить
promettre	обещать
promouvoir	продвигать
proscrire	запрещать
provenir	происходить
quérir	искать

réapparaître	появляться снова
r(é)apprendre	повторять

recevoir	получать
reconnaître	узнавать
reconquérir	завоевывать снова
recoudre	шить снова

recouvrir	покрывать снова
recroître	расти снова
recueillir	собирать
redécouvrir	открывать снова
redéfaire	делать снова
redescendre	спускаться снова
redevenir	становиться снова
redevoir	должен снова
redire	говорить снова
réduire	уменьшать
ré(é)crire	переписывать
réélire	избирать снова
refaire	делать снова
refondre	переплавлять
réinscrire	записывать снова
rejoindre	присоединяться
relire	читать снова
reluire	сиять снова
remettre	помещать снова
remoudre	молоть снова
renaître	возрождаться
rendormir	усыплять
rendre	давать
repaître	пасать снова
répandre	распространять
repartir	отправляться снова
repeindre	красить снова
rependre	вешать снова
repentir	раскаиваться
répondre	отвечать
reprendre	брать снова
reproduire	воспроизводить
requérir	требовать
résoudre	решать
ressentir	ощущать
resservir	обслуживать снова
ressortir	выходить снова
restreindre	ограничивать
retenir	держать
retranscrire	переписывать
retransmettre	передавать снова
revaloir	стоить снова
revendre	продавать снова
revenir	приходить
revêtir	надевать
revivre	жить снова
revoir	встречаться
rire	смеяться
rompre	ломать
rouvrir	открывать
saillir	выходить
satisfaire	удовлетворять
savoir	знать

séduire	соблазнять
s'ensuivre	следовать
sentir	чувствовать
seoir	сидеть
servir	служить
sortir	выходить
souffrir	страдать
soumettre	подчинять
sourire	улыбаться
souscrire	подписывать
sous-entendre	подразумевать
sous-tendre	поддерживать
soustraire	вычитать
soutenir	поддерживать
souvenir	вспоминать
subvenir	предоставлять
suffire	хватать
suivre	следовать
surprendre	удивлять
surseoir	откладывать
survenir	появляться
survivre	пережить
suspendre	приостанавливать
taire	молчать
teindre	красить
tendre	напрягать
tenir	держать
tondre	стричь
tordre	искажать
traduire	переводить
traire	доить
transcrire	переписывать
transmettre	передавать
transparaître	проявляться
tressaillir	дрожать
vaincre	побеждать
valoir	стоить
vendre	продавать
venir	приходить
vêtir	надевать
vivre	жить
voir	видеть
vouloir	хотеть
