abattre сбивать
absoudre	освобождать от вины
abstraire	абстрагировать
accourir	прибегать
accroître	увеличивать
accueillir	приветствовать
acquérir	приобретать
adjoindre	присоединять
advenir	случаться
aller	идти
apercevoir	замечать
apparaître	появляться
appartenir	принадлежать
appendre	прикреплять
apprendre	учить
assaillir	нападать
asseoir	садиться
astreindre	обязывать
attendre	ждать
avoir	иметь
battre	бить
boire	пить
bouillir	кипеть
braire	ржать
ceindre	опоясывать
choir	сидеть
circoncire	обрезать
circonscrire	ограничивать
circonvenir	убеждать
clore	закрывать
combattre	бороться
commettre	совершать
comparaître	являться
complaire	угождать
comprendre	понимать
concevoir	зачать
conclure	заключать
concourir	участвовать
conduire	вести
confire	консервировать
confondre	смущать
conjoindre	соединять
connaître	знать
conquérir	завоевывать
consentir	согласиться
construire	строить
contenir	содержать
contraindre	принуждать
contredire	противоречить
contrefaire	подделывать
contrefoutre	проклинать
contrevenir	нарушать
convaincre	убеждать
convenir	согласоваться
correspondre	соответствовать
corrompre	корruptировать
coudre	шить
courir	бежать
couvrir	покрывать
craindre	бояться
croire	верить
croître	расти
cueillir	собирать
cuire	варить
descendre	спускаться
desservir	обслуживать
devenir	становиться
devoir	должен
dire	говорить
disconvenir	отказаться
discourir	разговаривать
disjoindre	разъединять
disparaître	исчезать
dissoudre	растворять
distendre	растягивать
distordre	искажать
distraire	отвлекать
dormir	спать
débattre	спорить
décevoir	разочаровывать
déchoir	падать
déclore	раскрывать
découdre	расшивать
découvrir	открывать
décrire	описывать
décroître	уменьшаться
dédire	отказаться от
déduire	выводить
défaillir	не справиться
défaire	разрушать
défendre	защищать
démentir	опровергать
démettre	увольнять
démordre	отказаться от
départir	отправлять
dépeindre	описывать
dépendre	зависеть
déplaire	не нравиться
déprendre	отказываться от
désapprendre	забывать
déteindre	расплываться
détendre	расслаблять
détenir	держать
détruire	разрушать
dévêtir	раздевать
empreindre	отпечатывать
enclore	заключать
encourir	рисковать
endormir	усыплять
enduire	покрывать
enfreindre	нарушать
enfuir	убегать
enjoindre	приказывать
enquérir	расследовать
ensuivre	следовать
entendre	слышать
entrapercevoir	замечать
entremettre	посредничать
entreprendre	предпринимать
entretenir	поддерживать
entrevoir	предвидеть
entrouvrir	приоткрывать
exclure	исключать
extraire	извлекать
faillir	не справиться
faire	делать
falloir	нужно
feindre	притворяться
fendre	раскалывать
fondre	таять
forclore	закрывать
foutre	делать
frire	жарить
fuir	убегать
geindre	стонать
gésir	лежать
inclure	включать
induire	внушать
inscrire	записывать
instruire	учить
interdire	запрещать
interrompre	прерывать
intervenir	вмешиваться
introduire	вводить
joindre	соединять
lire	читать
luire	сиять
maintenir	поддерживать
maudire	проклинать
mentir	лгать
messeoir	принадлежать
mettre	ставить
mordre	кусать
morfondre	таять
moudre	молоть
mourir	умирать
mouvoir	двигать
méconnaître	не знать
médire	говорить плохо
méprendre	ошибаться
naître	рождаться
nuire	вредить
obtenir	получать
occlure	закрывать
offrir	предлагать
oindre	мазать
omettre	пропускать
ouvrir	открывать
ouïr	слышать
paraître	появляться
parcourir	проходить
parfaire	совершать
partir	отправляться
parvenir	достигать
paître	пасеть
peindre	рисовать
pendre	висеть
percevoir	получать
perdre	терять
permettre	разрешать
plaindre	жаловаться
plaire	нравиться
pleuvoir	дождь
poindre	проклевываться
pondre	откладывать яйца
pourfendre	разрубать
poursuivre	преследовать
pourvoir	обеспечивать
pouvoir	мочь
prendre	брать
prescrire	прописывать
pressentir	предчувствовать
produire	производить
promettre	обещать
promouvoir	продвигать
proscrire	запрещать
provenir	происходить
prédire	предсказывать
prétendre	претендовать
prévaloir	преобладать
prévenir	предупреждать
prévoir	предвидеть
quérir	искать
r(é)apprendre	повторять
rabattre	сбивать
rebattre	бить снова
recevoir	получать
reconnaître	узнавать
reconquérir	завоевывать снова
recoudre	шить снова
recourir	обращаться
recouvrir	покрывать снова
recroître	расти снова
recueillir	собирать
redescendre	спускаться снова
redevenir	становиться снова
redevoir	должен снова
redire	говорить снова
redécouvrir	открывать снова
redéfaire	делать снова
refaire	делать снова
refondre	переплавлять
rejoindre	присоединяться
relire	читать снова
reluire	сиять снова
remettre	помещать снова
remoudre	молоть снова
renaître	возрождаться
rendormir	усыплять
rendre	давать
repartir	отправляться снова
repaître	пасать снова
repeindre	красить снова
rependre	вешать снова
repentir	раскаиваться
reprendre	брать снова
reproduire	воспроизводить
requérir	требовать
ressentir	ощущать
resservir	обслуживать снова
ressortir	выходить снова
restreindre	ограничивать
retenir	держать
retranscrire	переписывать
retransmettre	передавать снова
revaloir	стоить снова
revendre	продавать снова
revenir	приходить
revivre	жить снова
revoir	встречаться
revêtir	надевать
rire	смеяться
rompre	ломать
rouvrir	открывать
ré(é)crire	переписывать
réapparaître	появляться снова
réduire	уменьшать
réinscrire	записывать снова
répandre	распространять
répondre	отвечать
résoudre	решать
réélire	избирать снова
s'ensuivre	следовать
saillir	выходить
satisfaire	удовлетворять
savoir	знать
secourir	помогать
sentir	чувствовать
seoir	сидеть
servir	служить
sortir	выходить
souffrir	страдать
soumettre	подчинять
sourire	улыбаться
sous-entendre	подразумевать
sous-tendre	поддерживать
souscrire	подписывать
soustraire	вычитать
soutenir	поддерживать
souvenir	вспоминать
subvenir	предоставлять
suffire	хватать
suivre	следовать
surprendre	удивлять
surseoir	откладывать
survenir	появляться
survivre	пережить
suspendre	приостанавливать
séduire	соблазнять
taire	молчать
teindre	красить
tendre	напрягать
tenir	держать
tondre	стричь
tordre	искажать
traduire	переводить
traire	доить
transcrire	переписывать
transmettre	передавать
transparaître	проявляться
tressaillir	дрожать
vaincre	побеждать
valoir	стоить
vendre	продавать
venir	приходить
vivre	жить
voir	видеть
vouloir	хотеть
vêtir	надевать
ébattre	бороться
échoir	падать
éclore	цвести
éconduire	прогонять
écrire	писать
élire	избирать
émettre	выпускать
émoudre	точить
émouvoir	волновать
épandre	распространять
éprendre	брать
équevaloir	равняться
éteindre    загасить
étendre	растягивать
étreindre	обнимать
être	быть
